0	63
0	36
0	31
1	47
1	52
1	77
2	52
2	59
2	58
3	53
3	34
3	12
4	13
4	61
5	11
5	36
6	7
7	11
7	55
8	48
8	73
9	47
9	48
9	51
10	45
10	5
11	43
11	5
11	35
12	35
12	69
12	3
13	4
13	35
13	34
14	60
15	22
16	17
16	37
17	21
17	16
17	18
17	23
18	19
18	17
18	67
19	18
19	15
20	62
20	41
21	20
21	14
22	74
22	18
23	28
23	24
23	67
23	17
24	26
24	25
24	23
25	27
25	24
26	39
26	24
26	27
26	28
27	40
27	25
27	26
27	38
28	26
28	37
28	23
29	30
29	52
30	29
30	59
31	0
32	44
32	33
33	43
33	70
34	54
34	57
34	13
35	12
35	13
36	0
36	61
36	5
37	28
37	16
37	58
38	27
39	26
40	27
41	16
41	42
42	41
42	64
43	33
43	11
43	55
44	32
45	46
45	47
45	10
46	45
46	77
46	63
47	1
47	9
47	45
48	9
48	8
48	49
49	48
49	71
49	50
50	49
51	9
52	2
52	1
52	29
53	54
53	3
54	34
54	53
55	7
55	44
56	57
57	75
57	22
57	56
58	37
58	2
59	30
59	2
60	4
60	20
61	62
61	36
61	4
62	65
62	42
63	46
63	0
64	58
64	65
65	63
65	66
65	64
66	65
67	23
67	68
67	18
68	67
69	43
69	70
70	3
70	69
70	72
71	49
72	70
73	8
73	10
74	21
74	75
75	14
75	74
76	77
77	1
77	46
77	76
